ncm_id,incident_date,product_line,supplier_id,material_type,defect_description,quantity_affected,severity,root_cause,cost_impact,status,created_date
166,2024-07-13,Turbine Blades,6,Carbon Fiber Composite,Grain structure anomaly - improper heat treatment by supplier,472,Critical,Transportation damage,26725.93,Closed,2024-07-13 00:00:00
167,2024-07-14,Composite Panels,5,Carbon Fiber Composite,Certificate of Conformance missing required test data,44,Minor,Supplier process deviation,1987.9,Closed,2024-07-14 00:00:00
168,2024-07-15,Engine Mounts,5,Aluminum 7075-T6,Lot traceability documentation incomplete,59,Critical,Supplier change notification missed,17801.86,Closed,2024-07-15 00:00:00
169,2024-07-16,Sensor Assemblies,4,Titanium Alloy Ti-6Al-4V,Grain structure anomaly - improper heat treatment by supplier,21,Minor,Incoming inspection escape,523.51,Closed,2024-07-16 00:00:00
170,2024-07-17,Turbine Blades,5,Magnesium AZ31B,Grain structure anomaly - improper heat treatment by supplier,19,Minor,Supplier change notification missed,535.52,Closed,2024-07-17 00:00:00
171,2024-07-19,Landing Gear,1,Titanium Alloy Ti-6Al-4V,Material substitution without engineering approval,159,Major,Incoming inspection escape,5817.32,Closed,2024-07-19 00:00:00
172,2024-07-20,Engine Mounts,1,Aluminum 7075-T6,Grain structure anomaly - improper heat treatment by supplier,47,Minor,Supplier change notification missed,505.49,Closed,2024-07-20 00:00:00
173,2024-07-20,Hydraulic Actuators,6,Aluminum 7075-T6,Incoming inspection failed - visual defects on surface,5,Minor,Storage condition failure,1346.59,Closed,2024-07-20 00:00:00
174,2024-07-21,Landing Gear,1,Stainless Steel 304L,Chemical composition out of spec - carbon content high,424,Critical,Supplier change notification missed,46898.69,Closed,2024-07-21 00:00:00
175,2024-07-23,Hydraulic Actuators,4,Tool Steel D2,Material substitution without engineering approval,93,Major,Raw material batch variation,1878.44,Closed,2024-07-23 00:00:00
176,2024-07-30,Landing Gear,3,Tool Steel D2,Lot traceability documentation incomplete,148,Major,Raw material batch variation,4037.77,Closed,2024-07-30 00:00:00
177,2024-07-31,Landing Gear,5,Carbon Fiber Composite,Material substitution without engineering approval,110,Major,Incoming inspection escape,8101.0,Pending Disposition,2024-07-31 00:00:00
178,2024-08-02,Landing Gear,2,Tool Steel D2,Grain structure anomaly - improper heat treatment by supplier,132,Critical,Specification interpretation error,11561.58,Closed,2024-08-02 00:00:00
179,2024-08-02,Turbine Blades,6,Tool Steel D2,Certificate of Conformance missing required test data,130,Major,Storage condition failure,8681.56,Open,2024-08-02 00:00:00
180,2024-08-04,Landing Gear,8,Magnesium AZ31B,Material substitution without engineering approval,47,Minor,Specification interpretation error,530.83,Closed,2024-08-04 00:00:00
181,2024-08-04,Sensor Assemblies,7,Carbon Fiber Composite,Material hardness below specification - failed Rockwell test,7,Minor,Documentation error,800.85,Open,2024-08-04 00:00:00
182,2024-08-05,Sensor Assemblies,6,Magnesium AZ31B,Surface contamination detected - oil residue on raw stock,21,Major,Transportation damage,7747.59,Closed,2024-08-05 00:00:00
183,2024-08-05,Landing Gear,2,Tool Steel D2,Incoming inspection failed - visual defects on surface,36,Minor,Raw material batch variation,357.96,Closed,2024-08-05 00:00:00
184,2024-08-06,Sensor Assemblies,1,Titanium Alloy Ti-6Al-4V,Surface contamination detected - oil residue on raw stock,470,Critical,Supplier process deviation,19042.62,Closed,2024-08-06 00:00:00
185,2024-08-06,Hydraulic Actuators,5,Stainless Steel 304L,Incoming inspection failed - visual defects on surface,29,Minor,Supplier change notification missed,590.73,Closed,2024-08-06 00:00:00
186,2024-08-08,Landing Gear,6,Titanium Alloy Ti-6Al-4V,Chemical composition out of spec - carbon content high,96,Major,Documentation error,3775.47,Closed,2024-08-08 00:00:00
187,2024-08-08,Landing Gear,3,Aluminum 7075-T6,Incoming inspection failed - visual defects on surface,358,Critical,Raw material batch variation,46913.46,Closed,2024-08-08 00:00:00
188,2024-08-10,Sensor Assemblies,6,Aluminum 7075-T6,Grain structure anomaly - improper heat treatment by supplier,158,Critical,Supplier process deviation,13217.85,Closed,2024-08-10 00:00:00
189,2024-08-11,Landing Gear,5,Tool Steel D2,Chemical composition out of spec - carbon content high,41,Minor,Incoming inspection escape,1142.98,Closed,2024-08-11 00:00:00
190,2024-08-13,Precision Bearings,1,Titanium Alloy Ti-6Al-4V,Dimensional variance exceeds tolerance - undersized bar stock,105,Major,Raw material batch variation,1836.71,Closed,2024-08-13 00:00:00
191,2024-08-15,Landing Gear,1,Aluminum 7075-T6,Chemical composition out of spec - carbon content high,112,Major,Transportation damage,1382.72,Closed,2024-08-15 00:00:00
192,2024-08-15,Landing Gear,4,Aluminum 7075-T6,Material hardness below specification - failed Rockwell test,186,Major,Specification interpretation error,2515.42,Closed,2024-08-15 00:00:00
193,2024-08-17,Hydraulic Actuators,3,Nickel Superalloy,Material hardness below specification - failed Rockwell test,48,Minor,Incoming inspection escape,1918.85,Closed,2024-08-17 00:00:00
194,2024-08-17,Engine Mounts,4,Nickel Superalloy,Grain structure anomaly - improper heat treatment by supplier,32,Minor,Incoming inspection escape,552.03,Under Review,2024-08-17 00:00:00
195,2024-08-19,Precision Bearings,7,Stainless Steel 304L,Storage damage - corrosion from improper handling,51,Major,Specification interpretation error,3241.28,Closed,2024-08-19 00:00:00
196,2024-08-22,Precision Bearings,4,Ceramic Matrix Composite,Surface contamination detected - oil residue on raw stock,16,Minor,Storage condition failure,343.56,Closed,2024-08-22 00:00:00
197,2024-08-24,Control Valves,1,Nickel Superalloy,Dimensional variance exceeds tolerance - undersized bar stock,424,Critical,Storage condition failure,38519.61,Under Review,2024-08-24 00:00:00
198,2024-08-24,Turbine Blades,2,Titanium Alloy Ti-6Al-4V,Certificate of Conformance missing required test data,12,Minor,Raw material batch variation,499.39,Closed,2024-08-24 00:00:00
199,2024-08-25,Engine Mounts,4,Copper C110,Incoming inspection failed - visual defects on surface,381,Critical,Supplier change notification missed,11614.44,Closed,2024-08-25 00:00:00
200,2024-08-26,Engine Mounts,5,Nickel Superalloy,Incoming inspection failed - visual defects on surface,45,Minor,Storage condition failure,482.94,Pending Disposition,2024-08-26 00:00:00
201,2024-08-27,Engine Mounts,4,Titanium Alloy Ti-6Al-4V,Certificate of Conformance missing required test data,131,Major,Specification interpretation error,9542.29,Open,2024-08-27 00:00:00
202,2024-08-27,Turbine Blades,1,Aluminum 7075-T6,Chemical composition out of spec - carbon content high,23,Minor,Transportation damage,971.62,Under Review,2024-08-27 00:00:00
203,2024-08-28,Composite Panels,3,Ceramic Matrix Composite,Lot traceability documentation incomplete,440,Critical,Documentation error,26295.53,Closed,2024-08-28 00:00:00
204,2024-08-29,Engine Mounts,4,Nickel Superalloy,Chemical composition out of spec - carbon content high,191,Critical,Transportation damage,35979.39,Closed,2024-08-29 00:00:00
205,2024-08-30,Engine Mounts,4,Nickel Superalloy,Grain structure anomaly - improper heat treatment by supplier,170,Critical,Transportation damage,5771.56,Closed,2024-08-30 00:00:00
206,2024-09-01,Precision Bearings,6,Stainless Steel 304L,Certificate of Conformance missing required test data,47,Minor,Supplier process deviation,287.79,Closed,2024-09-01 00:00:00
207,2024-09-03,Control Valves,2,Tool Steel D2,Storage damage - corrosion from improper handling,82,Major,Transportation damage,3268.89,Closed,2024-09-03 00:00:00
208,2024-09-03,Turbine Blades,8,Tool Steel D2,Certificate of Conformance missing required test data,217,Critical,Documentation error,48137.97,Closed,2024-09-03 00:00:00
209,2024-09-05,Hydraulic Actuators,4,Stainless Steel 304L,Chemical composition out of spec - carbon content high,419,Critical,Storage condition failure,37967.85,Closed,2024-09-05 00:00:00
210,2024-09-06,Sensor Assemblies,7,Carbon Fiber Composite,Incoming inspection failed - visual defects on surface,369,Critical,Supplier process deviation,22096.47,Under Review,2024-09-06 00:00:00
211,2024-09-06,Engine Mounts,6,Tool Steel D2,Material hardness below specification - failed Rockwell test,302,Critical,Raw material batch variation,28961.87,Open,2024-09-06 00:00:00
212,2024-09-07,Control Valves,3,Tool Steel D2,Surface contamination detected - oil residue on raw stock,72,Major,Raw material batch variation,8798.96,Closed,2024-09-07 00:00:00
213,2024-09-07,Hydraulic Actuators,8,Titanium Alloy Ti-6Al-4V,Chemical composition out of spec - carbon content high,161,Critical,Supplier process deviation,38211.1,Closed,2024-09-07 00:00:00
214,2024-09-08,Landing Gear,7,Aluminum 7075-T6,Incoming inspection failed - visual defects on surface,135,Major,Storage condition failure,6787.17,Closed,2024-09-08 00:00:00
215,2024-09-08,Landing Gear,2,Carbon Fiber Composite,Material hardness below specification - failed Rockwell test,157,Major,Specification interpretation error,8119.9,Closed,2024-09-08 00:00:00
216,2024-09-09,Hydraulic Actuators,5,Magnesium AZ31B,Grain structure anomaly - improper heat treatment by supplier,5,Minor,Supplier change notification missed,1538.92,Closed,2024-09-09 00:00:00
217,2024-09-09,Landing Gear,6,Stainless Steel 304L,Material hardness below specification - failed Rockwell test,167,Critical,Supplier change notification missed,27666.52,Closed,2024-09-09 00:00:00
218,2024-09-10,Sensor Assemblies,6,Aluminum 7075-T6,Storage damage - corrosion from improper handling,62,Major,Supplier process deviation,6006.58,Pending Disposition,2024-09-10 00:00:00
219,2024-09-10,Control Valves,5,Inconel 718,Grain structure anomaly - improper heat treatment by supplier,169,Critical,Storage condition failure,42004.13,Closed,2024-09-10 00:00:00
220,2024-09-13,Turbine Blades,8,Aluminum 7075-T6,Grain structure anomaly - improper heat treatment by supplier,44,Minor,Documentation error,953.99,Pending Disposition,2024-09-13 00:00:00
221,2024-09-14,Hydraulic Actuators,7,Titanium Alloy Ti-6Al-4V,Dimensional variance exceeds tolerance - undersized bar stock,15,Minor,Documentation error,220.21,Closed,2024-09-14 00:00:00
222,2024-09-16,Composite Panels,3,Inconel 718,Certificate of Conformance missing required test data,130,Critical,Raw material batch variation,8817.23,Under Review,2024-09-16 00:00:00
223,2024-09-16,Hydraulic Actuators,4,Tool Steel D2,Storage damage - corrosion from improper handling,162,Major,Documentation error,7423.27,Closed,2024-09-16 00:00:00
224,2024-09-17,Control Valves,3,Magnesium AZ31B,Chemical composition out of spec - carbon content high,176,Major,Documentation error,4823.98,Closed,2024-09-17 00:00:00
225,2024-09-18,Turbine Blades,4,Magnesium AZ31B,Surface contamination detected - oil residue on raw stock,242,Critical,Raw material batch variation,23261.73,Closed,2024-09-18 00:00:00
226,2024-09-19,Turbine Blades,3,Aluminum 7075-T6,Material substitution without engineering approval,323,Critical,Specification interpretation error,38165.16,Closed,2024-09-19 00:00:00
227,2024-09-19,Hydraulic Actuators,7,Inconel 718,Grain structure anomaly - improper heat treatment by supplier,325,Critical,Supplier process deviation,28307.95,Closed,2024-09-19 00:00:00
228,2024-09-20,Control Valves,2,Aluminum 7075-T6,Chemical composition out of spec - carbon content high,26,Minor,Incoming inspection escape,1149.33,Closed,2024-09-20 00:00:00
229,2024-09-20,Hydraulic Actuators,6,Carbon Fiber Composite,Dimensional variance exceeds tolerance - undersized bar stock,301,Critical,Storage condition failure,6980.84,Closed,2024-09-20 00:00:00
230,2024-09-21,Hydraulic Actuators,2,Tool Steel D2,Surface contamination detected - oil residue on raw stock,32,Minor,Documentation error,940.46,Closed,2024-09-21 00:00:00
231,2024-09-21,Hydraulic Actuators,8,Titanium Alloy Ti-6Al-4V,Material hardness below specification - failed Rockwell test,26,Minor,Supplier process deviation,624.99,Pending Disposition,2024-09-21 00:00:00
232,2024-09-24,Landing Gear,3,Aluminum 7075-T6,Lot traceability documentation incomplete,296,Critical,Documentation error,35958.04,Closed,2024-09-24 00:00:00
233,2024-09-26,Hydraulic Actuators,1,Tool Steel D2,Chemical composition out of spec - carbon content high,192,Major,Incoming inspection escape,3815.6,Under Review,2024-09-26 00:00:00
234,2024-09-26,Landing Gear,3,Tool Steel D2,Lot traceability documentation incomplete,43,Minor,Incoming inspection escape,1644.26,Closed,2024-09-26 00:00:00
235,2024-09-27,Hydraulic Actuators,2,Titanium Alloy Ti-6Al-4V,Incoming inspection failed - visual defects on surface,197,Critical,Supplier change notification missed,42096.07,Closed,2024-09-27 00:00:00
236,2024-09-28,Composite Panels,1,Stainless Steel 304L,Grain structure anomaly - improper heat treatment by supplier,173,Major,Supplier change notification missed,1236.26,Under Review,2024-09-28 00:00:00
237,2024-09-29,Landing Gear,6,Nickel Superalloy,Certificate of Conformance missing required test data,90,Major,Raw material batch variation,7515.09,Closed,2024-09-29 00:00:00
238,2024-09-29,Composite Panels,4,Copper C110,Incoming inspection failed - visual defects on surface,311,Critical,Supplier process deviation,40896.51,Under Review,2024-09-29 00:00:00
239,2024-09-30,Composite Panels,3,Magnesium AZ31B,Material hardness below specification - failed Rockwell test,50,Minor,Supplier change notification missed,179.56,Open,2024-09-30 00:00:00
240,2024-10-02,Sensor Assemblies,8,Tool Steel D2,Dimensional variance exceeds tolerance - undersized bar stock,448,Critical,Transportation damage,39756.49,Closed,2024-10-02 00:00:00
241,2024-10-05,Landing Gear,1,Tool Steel D2,Material substitution without engineering approval,155,Major,Supplier process deviation,3275.34,Under Review,2024-10-05 00:00:00
242,2024-10-06,Hydraulic Actuators,5,Carbon Fiber Composite,Material substitution without engineering approval,36,Minor,Storage condition failure,1902.05,Closed,2024-10-06 00:00:00
243,2024-10-06,Control Valves,7,Inconel 718,Surface contamination detected - oil residue on raw stock,30,Minor,Transportation damage,1330.71,Closed,2024-10-06 00:00:00
244,2024-10-07,Precision Bearings,7,Stainless Steel 304L,Certificate of Conformance missing required test data,41,Minor,Incoming inspection escape,424.66,Closed,2024-10-07 00:00:00
245,2024-10-07,Turbine Blades,3,Copper C110,Material substitution without engineering approval,437,Critical,Supplier change notification missed,44575.08,Closed,2024-10-07 00:00:00
246,2024-10-10,Landing Gear,5,Nickel Superalloy,Dimensional variance exceeds tolerance - undersized bar stock,119,Major,Documentation error,8861.0,Closed,2024-10-10 00:00:00
247,2024-10-11,Turbine Blades,5,Copper C110,Incoming inspection failed - visual defects on surface,167,Critical,Transportation damage,23147.56,Closed,2024-10-11 00:00:00
248,2024-10-12,Turbine Blades,4,Stainless Steel 304L,Chemical composition out of spec - carbon content high,29,Minor,Supplier process deviation,260.75,Closed,2024-10-12 00:00:00
249,2024-10-14,Sensor Assemblies,2,Stainless Steel 304L,Incoming inspection failed - visual defects on surface,306,Critical,Transportation damage,30024.06,Closed,2024-10-14 00:00:00
250,2024-10-14,Turbine Blades,8,Titanium Alloy Ti-6Al-4V,Chemical composition out of spec - carbon content high,7,Minor,Storage condition failure,1407.69,Closed,2024-10-14 00:00:00
251,2024-10-18,Precision Bearings,4,Carbon Fiber Composite,Dimensional variance exceeds tolerance - undersized bar stock,50,Minor,Raw material batch variation,698.64,Open,2024-10-18 00:00:00
252,2024-10-20,Engine Mounts,8,Ceramic Matrix Composite,Grain structure anomaly - improper heat treatment by supplier,12,Minor,Storage condition failure,1769.33,Closed,2024-10-20 00:00:00
253,2024-10-20,Control Valves,2,Carbon Fiber Composite,Material hardness below specification - failed Rockwell test,123,Major,Supplier change notification missed,2951.04,Closed,2024-10-20 00:00:00
254,2024-10-22,Landing Gear,2,Copper C110,Certificate of Conformance missing required test data,36,Minor,Raw material batch variation,1546.57,Closed,2024-10-22 00:00:00
255,2024-10-22,Composite Panels,8,Titanium Alloy Ti-6Al-4V,Dimensional variance exceeds tolerance - undersized bar stock,38,Minor,Storage condition failure,1468.54,Closed,2024-10-22 00:00:00
256,2024-10-25,Sensor Assemblies,2,Tool Steel D2,Material hardness below specification - failed Rockwell test,52,Major,Storage condition failure,2008.13,Closed,2024-10-25 00:00:00
257,2024-10-25,Sensor Assemblies,7,Stainless Steel 304L,Storage damage - corrosion from improper handling,147,Major,Raw material batch variation,6731.5,Closed,2024-10-25 00:00:00
258,2024-10-26,Turbine Blades,7,Copper C110,Dimensional variance exceeds tolerance - undersized bar stock,30,Minor,Supplier process deviation,1392.23,Closed,2024-10-26 00:00:00
259,2024-10-26,Precision Bearings,2,Ceramic Matrix Composite,Chemical composition out of spec - carbon content high,12,Minor,Raw material batch variation,234.73,Closed,2024-10-26 00:00:00
260,2024-10-27,Control Valves,5,Titanium Alloy Ti-6Al-4V,Storage damage - corrosion from improper handling,294,Critical,Transportation damage,22865.1,Closed,2024-10-27 00:00:00
261,2024-10-27,Control Valves,7,Ceramic Matrix Composite,Storage damage - corrosion from improper handling,130,Critical,Transportation damage,41672.59,Closed,2024-10-27 00:00:00
262,2024-10-30,Sensor Assemblies,5,Titanium Alloy Ti-6Al-4V,Chemical composition out of spec - carbon content high,43,Major,Transportation damage,4764.42,Closed,2024-10-30 00:00:00
263,2024-10-31,Turbine Blades,7,Nickel Superalloy,Certificate of Conformance missing required test data,106,Major,Supplier change notification missed,6674.3,Pending Disposition,2024-10-31 00:00:00
264,2024-10-31,Landing Gear,1,Titanium Alloy Ti-6Al-4V,Material hardness below specification - failed Rockwell test,268,Critical,Storage condition failure,38585.43,Closed,2024-10-31 00:00:00
265,2024-11-02,Sensor Assemblies,4,Titanium Alloy Ti-6Al-4V,Certificate of Conformance missing required test data,175,Major,Transportation damage,4580.47,Pending Disposition,2024-11-02 00:00:00
266,2024-11-02,Landing Gear,8,Inconel 718,Grain structure anomaly - improper heat treatment by supplier,74,Major,Incoming inspection escape,9462.78,Under Review,2024-11-02 00:00:00
267,2024-11-03,Composite Panels,1,Magnesium AZ31B,Lot traceability documentation incomplete,32,Minor,Supplier change notification missed,1145.55,Closed,2024-11-03 00:00:00
268,2024-11-04,Control Valves,3,Titanium Alloy Ti-6Al-4V,Surface contamination detected - oil residue on raw stock,23,Minor,Storage condition failure,1679.64,Closed,2024-11-04 00:00:00
269,2024-11-04,Turbine Blades,5,Carbon Fiber Composite,Lot traceability documentation incomplete,17,Minor,Transportation damage,1971.78,Closed,2024-11-04 00:00:00
270,2024-11-05,Control Valves,1,Titanium Alloy Ti-6Al-4V,Surface contamination detected - oil residue on raw stock,364,Critical,Documentation error,34031.1,Closed,2024-11-05 00:00:00
271,2024-11-06,Turbine Blades,1,Aluminum 7075-T6,Chemical composition out of spec - carbon content high,41,Minor,Incoming inspection escape,799.66,Closed,2024-11-06 00:00:00
272,2024-11-07,Turbine Blades,3,Inconel 718,Certificate of Conformance missing required test data,21,Minor,Supplier change notification missed,1991.19,Closed,2024-11-07 00:00:00
273,2024-11-07,Precision Bearings,7,Magnesium AZ31B,Surface contamination detected - oil residue on raw stock,43,Minor,Incoming inspection escape,1319.32,Closed,2024-11-07 00:00:00
274,2024-11-09,Composite Panels,6,Ceramic Matrix Composite,Surface contamination detected - oil residue on raw stock,20,Minor,Incoming inspection escape,1908.68,Open,2024-11-09 00:00:00
275,2024-11-09,Control Valves,5,Carbon Fiber Composite,Chemical composition out of spec - carbon content high,105,Critical,Transportation damage,45074.29,Under Review,2024-11-09 00:00:00
276,2024-11-10,Composite Panels,1,Nickel Superalloy,Surface contamination detected - oil residue on raw stock,40,Minor,Specification interpretation error,1429.39,Closed,2024-11-10 00:00:00
277,2024-11-11,Engine Mounts,1,Carbon Fiber Composite,Material substitution without engineering approval,208,Critical,Storage condition failure,38717.45,Closed,2024-11-11 00:00:00
278,2024-11-12,Control Valves,6,Stainless Steel 304L,Material hardness below specification - failed Rockwell test,40,Minor,Documentation error,363.19,Closed,2024-11-12 00:00:00
279,2024-11-13,Hydraulic Actuators,2,Tool Steel D2,Dimensional variance exceeds tolerance - undersized bar stock,32,Minor,Supplier change notification missed,1175.91,Closed,2024-11-13 00:00:00
280,2024-11-14,Hydraulic Actuators,6,Nickel Superalloy,Storage damage - corrosion from improper handling,43,Major,Supplier change notification missed,6948.27,Closed,2024-11-14 00:00:00
281,2024-11-14,Composite Panels,6,Magnesium AZ31B,Certificate of Conformance missing required test data,18,Minor,Raw material batch variation,238.33,Pending Disposition,2024-11-14 00:00:00
282,2024-11-15,Control Valves,3,Aluminum 7075-T6,Chemical composition out of spec - carbon content high,26,Minor,Storage condition failure,696.02,Closed,2024-11-15 00:00:00
283,2024-11-15,Composite Panels,5,Stainless Steel 304L,Material substitution without engineering approval,42,Minor,Incoming inspection escape,383.01,Closed,2024-11-15 00:00:00
284,2024-11-16,Turbine Blades,1,Tool Steel D2,Certificate of Conformance missing required test data,164,Critical,Supplier change notification missed,26528.78,Under Review,2024-11-16 00:00:00
285,2024-11-16,Turbine Blades,2,Carbon Fiber Composite,Surface contamination detected - oil residue on raw stock,440,Critical,Raw material batch variation,42516.96,Closed,2024-11-16 00:00:00
286,2024-11-17,Sensor Assemblies,4,Titanium Alloy Ti-6Al-4V,Storage damage - corrosion from improper handling,83,Critical,Incoming inspection escape,7156.23,Closed,2024-11-17 00:00:00
287,2024-11-17,Precision Bearings,2,Nickel Superalloy,Dimensional variance exceeds tolerance - undersized bar stock,25,Minor,Storage condition failure,1252.41,Pending Disposition,2024-11-17 00:00:00
288,2024-11-18,Hydraulic Actuators,7,Stainless Steel 304L,Material hardness below specification - failed Rockwell test,162,Critical,Specification interpretation error,37848.94,Closed,2024-11-18 00:00:00
289,2024-11-19,Precision Bearings,8,Nickel Superalloy,Certificate of Conformance missing required test data,134,Major,Transportation damage,2460.81,Closed,2024-11-19 00:00:00
290,2024-11-20,Sensor Assemblies,3,Magnesium AZ31B,Lot traceability documentation incomplete,97,Critical,Supplier change notification missed,29995.9,Closed,2024-11-20 00:00:00
291,2024-11-20,Hydraulic Actuators,1,Stainless Steel 304L,Material hardness below specification - failed Rockwell test,43,Minor,Supplier change notification missed,1428.63,Pending Disposition,2024-11-20 00:00:00
292,2024-11-21,Landing Gear,5,Inconel 718,Incoming inspection failed - visual defects on surface,282,Critical,Documentation error,13929.77,Pending Disposition,2024-11-21 00:00:00
293,2024-11-21,Control Valves,3,Tool Steel D2,Surface contamination detected - oil residue on raw stock,122,Major,Specification interpretation error,9242.37,Open,2024-11-21 00:00:00
294,2024-11-24,Landing Gear,2,Nickel Superalloy,Grain structure anomaly - improper heat treatment by supplier,29,Minor,Documentation error,410.43,Open,2024-11-24 00:00:00
295,2024-11-24,Engine Mounts,8,Carbon Fiber Composite,Grain structure anomaly - improper heat treatment by supplier,27,Minor,Specification interpretation error,1189.53,Closed,2024-11-24 00:00:00
296,2024-11-26,Precision Bearings,5,Copper C110,Material hardness below specification - failed Rockwell test,63,Major,Transportation damage,6333.0,Closed,2024-11-26 00:00:00
297,2024-11-26,Precision Bearings,7,Stainless Steel 304L,Material hardness below specification - failed Rockwell test,11,Minor,Storage condition failure,181.7,Closed,2024-11-26 00:00:00
298,2024-11-27,Precision Bearings,4,Inconel 718,Lot traceability documentation incomplete,323,Critical,Specification interpretation error,22926.18,Pending Disposition,2024-11-27 00:00:00
299,2024-11-28,Hydraulic Actuators,3,Magnesium AZ31B,Storage damage - corrosion from improper handling,132,Critical,Transportation damage,5630.61,Closed,2024-11-28 00:00:00
300,2024-11-28,Control Valves,2,Tool Steel D2,Incoming inspection failed - visual defects on surface,127,Major,Specification interpretation error,5674.82,Pending Disposition,2024-11-28 00:00:00
301,2024-11-29,Control Valves,8,Tool Steel D2,Grain structure anomaly - improper heat treatment by supplier,79,Major,Raw material batch variation,8799.25,Closed,2024-11-29 00:00:00
302,2024-11-29,Sensor Assemblies,3,Magnesium AZ31B,Material hardness below specification - failed Rockwell test,78,Major,Specification interpretation error,1262.41,Closed,2024-11-29 00:00:00
303,2024-11-30,Composite Panels,7,Titanium Alloy Ti-6Al-4V,Certificate of Conformance missing required test data,12,Minor,Specification interpretation error,1861.5,Closed,2024-11-30 00:00:00
304,2024-11-30,Composite Panels,4,Titanium Alloy Ti-6Al-4V,Incoming inspection failed - visual defects on surface,14,Minor,Supplier process deviation,1581.78,Closed,2024-11-30 00:00:00
305,2024-12-01,Landing Gear,3,Copper C110,Incoming inspection failed - visual defects on surface,16,Minor,Transportation damage,1697.29,Open,2024-12-01 00:00:00
306,2024-12-02,Turbine Blades,6,Stainless Steel 304L,Certificate of Conformance missing required test data,134,Major,Transportation damage,5851.67,Closed,2024-12-02 00:00:00
307,2024-12-03,Hydraulic Actuators,2,Nickel Superalloy,Lot traceability documentation incomplete,121,Critical,Supplier process deviation,49176.59,Closed,2024-12-03 00:00:00
308,2024-12-03,Control Valves,5,Tool Steel D2,Material hardness below specification - failed Rockwell test,158,Major,Transportation damage,6610.93,Closed,2024-12-03 00:00:00
309,2024-12-06,Control Valves,1,Ceramic Matrix Composite,Chemical composition out of spec - carbon content high,32,Minor,Incoming inspection escape,1699.35,Closed,2024-12-06 00:00:00
310,2024-12-07,Precision Bearings,3,Aluminum 7075-T6,Surface contamination detected - oil residue on raw stock,44,Minor,Incoming inspection escape,741.67,Closed,2024-12-07 00:00:00
311,2024-12-07,Engine Mounts,6,Titanium Alloy Ti-6Al-4V,Lot traceability documentation incomplete,34,Minor,Raw material batch variation,1136.82,Closed,2024-12-07 00:00:00
312,2024-12-08,Control Valves,3,Tool Steel D2,Dimensional variance exceeds tolerance - undersized bar stock,29,Minor,Supplier process deviation,863.14,Closed,2024-12-08 00:00:00
313,2024-12-09,Precision Bearings,8,Magnesium AZ31B,Lot traceability documentation incomplete,177,Major,Specification interpretation error,8022.23,Under Review,2024-12-09 00:00:00
314,2024-12-09,Composite Panels,3,Inconel 718,Incoming inspection failed - visual defects on surface,14,Minor,Storage condition failure,1044.73,Closed,2024-12-09 00:00:00
315,2024-12-10,Sensor Assemblies,1,Carbon Fiber Composite,Incoming inspection failed - visual defects on surface,30,Minor,Supplier process deviation,1096.33,Closed,2024-12-10 00:00:00
316,2024-12-11,Turbine Blades,5,Nickel Superalloy,Certificate of Conformance missing required test data,28,Minor,Documentation error,1799.96,Closed,2024-12-11 00:00:00
317,2024-12-11,Turbine Blades,8,Tool Steel D2,Dimensional variance exceeds tolerance - undersized bar stock,135,Critical,Documentation error,35285.51,Closed,2024-12-11 00:00:00
318,2024-12-12,Precision Bearings,5,Nickel Superalloy,Grain structure anomaly - improper heat treatment by supplier,251,Critical,Transportation damage,47040.39,Closed,2024-12-12 00:00:00
319,2024-12-13,Hydraulic Actuators,5,Ceramic Matrix Composite,Chemical composition out of spec - carbon content high,13,Minor,Supplier change notification missed,568.59,Closed,2024-12-13 00:00:00
320,2024-12-16,Sensor Assemblies,2,Copper C110,Dimensional variance exceeds tolerance - undersized bar stock,40,Major,Documentation error,2479.79,Closed,2024-12-16 00:00:00
321,2024-12-16,Hydraulic Actuators,8,Ceramic Matrix Composite,Grain structure anomaly - improper heat treatment by supplier,167,Major,Storage condition failure,4501.69,Under Review,2024-12-16 00:00:00
322,2024-12-17,Landing Gear,6,Nickel Superalloy,Incoming inspection failed - visual defects on surface,308,Critical,Documentation error,43720.26,Open,2024-12-17 00:00:00
323,2024-12-17,Precision Bearings,8,Ceramic Matrix Composite,Incoming inspection failed - visual defects on surface,163,Major,Specification interpretation error,9546.19,Closed,2024-12-17 00:00:00
324,2024-12-18,Precision Bearings,5,Aluminum 7075-T6,Material substitution without engineering approval,206,Critical,Raw material batch variation,5342.1,Closed,2024-12-18 00:00:00
325,2024-12-18,Engine Mounts,2,Copper C110,Storage damage - corrosion from improper handling,8,Minor,Storage condition failure,1020.07,Under Review,2024-12-18 00:00:00
326,2024-12-21,Composite Panels,4,Copper C110,Incoming inspection failed - visual defects on surface,95,Major,Storage condition failure,1793.87,Closed,2024-12-21 00:00:00
327,2024-12-24,Sensor Assemblies,3,Tool Steel D2,Surface contamination detected - oil residue on raw stock,31,Minor,Storage condition failure,1783.59,Closed,2024-12-24 00:00:00
328,2024-12-24,Engine Mounts,7,Inconel 718,Surface contamination detected - oil residue on raw stock,178,Major,Incoming inspection escape,1412.13,Closed,2024-12-24 00:00:00
329,2024-12-27,Engine Mounts,3,Tool Steel D2,Lot traceability documentation incomplete,51,Major,Supplier process deviation,6541.47,Closed,2024-12-27 00:00:00
